Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,Destination,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
1,3,27,1,1,1,5,1,1,2,0,3,2,1,40,1,5,1500,90,2,4
1,3,40,1,1,1,5,5,1,1,2,3,4,1,70,1,1,6000,60,2,3
1,3,35,1,1,1,6,2,1,2,1,3,3,1,48,1,1,3,90,5,3
1,4,31,2,1,1,3,4,1,2,1,4,1,1,43,1,6,10000,60,2,1
1,1,36,1,1,1,16,2,1,1,3,4,2,1,100,1,3,1300,40,1,4
1,2,22,1,1,1,40,0,1,2,2,4,4,1,100,1,6,10000,120,8,4
1,1,44,1,1,2,3,2,1,2,4,3,3,1,59,1,1,0,15,5,5
1,2,67,2,1,1,7,2,1,1,3,1,3,2,26,1,4,10000,65,7,4
1,4,29,2,2,1,20,1,1,2,2,1,3,1,30,1,5,6900,43,2,1
1,1,38,1,1,1,4,3,1,2,3,2,2,1,48,1,2,3000,5,2,3
1,2,39,2,1,1,5,1,1,2,4,2,1,1,60,1,6,13000,60,9,3
1,2,28,1,1,2,3,2,1,2,2,2,2,1,27,1,5,1150,30,2,3
1,2,31,1,1,2,30,0,1,2,5,1,2,1,54,1,2,3000,15,3,3
1,3,30,2,1,1,7,3,1,2,3,3,3,1,60,1,3,3000,15,2,3
1,3,27,2,1,1,5,4,1,2,4,3,2,1,60,1,6,15000,60,12,2
1,3,28,1,1,1,6,2,1,2,2,3,2,1,23,1,6,14000,60,2,7
1,1,31,1,1,1,5,1,1,2,0,3,3,1,62,1,6,10000,60,2,4
1,1,33,1,2,2,10,2,1,2,4,1,3,2,49,1,1,10000,56,1,2
1,3,33,1,4,1,5,2,1,2,3,3,4,1,50,1,6,15000,60,2,3
1,1,31,2,1,2,5,1,1,2,5,3,2,1,60,1,7,8000,56,2,4
1,2,37,2,4,2,5,2,1,2,3,3,3,1,76,1,6,24000,90,2,6
1,2,41,2,1,1,6,2,1,2,0,3,3,1,36,1,2,2500,10,7,2
1,3,27,1,1,1,6,1,1,2,1,3,3,1,40,1,6,11000,20,1,2
1,3,29,2,4,1,5,2,1,2,3,3,3,1,31,1,2,4300,15,2,6
1,1,30,2,1,1,6,3,1,2,2,3,2,1,50,1,6,15000,56,2,5
1,1,47,1,1,1,16,0,1,2,3,3,2,1,69,1,2,4000,10,7,4
1,1,54,1,1,2,60,0,1,2,1,3,3,1,82,1,2,4000,20,2,4
1,2,35,1,1,1,12,1,1,2,5,3,2,1,30,1,5,2000,30,2,4
1,1,35,1,5,1,4,0,1,2,6,3,3,1,50,1,2,5900,10,4,4
1,1,23,2,4,4,100,1,1,2,2,3,3,1,56,1,6,16000,60,8,5
1,3,29,1,1,2,5,3,1,2,2,3,1,1,40,1,2,6000,20,2,4
1,1,22,2,1,1,10,0,1,2,1,1,2,1,57,1,5,4500,80,3,3
1,2,23,2,1,1,37,10,1,2,2,2,4,1,52,1,5,1200,60,8,2
1,2,25,2,1,3,730,0,1,2,0,2,4,1,27,1,5,4000,40,8,2
1,3,33,1,1,1,7,1,2,2,2,3,3,1,30,1,8,8000,39,2,3
1,4,29,1,4,1,6,2,2,2,1,3,4,1,30,1,6,2300,30,5,5
1,1,49,1,1,2,7,0,3,2,3,3,2,1,80,1,6,8000,40,1,5
1,1,49,2,1,1,4,4,3,2,1,2,1,1,41,1,6,8000,50,9,3
1,1,34,2,1,2,4,0,3,2,2,1,2,1,40,1,6,8000,50,1,3
1,1,43,1,1,4,40,1,3,2,4,1,2,1,34,1,6,8000,50,1,3
1,1,43,2,1,4,40,1,3,2,0,1,2,1,34,1,6,8000,50,9,3
1,1,52,1,1,1,7,1,3,2,0,2,1,1,56,1,6,8000,50,2,3
1,4,45,1,1,1,7,1,3,1,10,4,2,1,80,1,6,8000,50,1,2
1,2,62,1,1,2,4,2,3,2,8,2,3,2,27,1,5,1500,76,5,3
1,4,30,2,1,1,5,2,3,2,5,3,2,1,53,1,6,10000,60,9,3
1,3,28,1,1,1,5,4,3,2,4,3,3,1,30,1,6,12000,75,2,2
