"","Airport","Airline","Age","Gender","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","GroupTravel","NoTripsLastYear","Destination","DepartureTime","SeatClass","Airfare","NoTransport","ModeTransport","AccessCost","AccessTime","Occupation","Income"
"1","ICN","Korean","<=50","1","1","Leisure",5,1,"1","2",0,"3","2","1",40,1,"5",1500,90,"2","80~150"
"2","ICN","Korean","<=50","1","1","Leisure",5,5,"1","1",2,"3","4","1",70,1,"1",6000,60,"2","30~80"
"3","ICN","Korean",">50","2","1","Leisure",5,6,"1","2",0,"3","4","1",70,1,"1",6579,56,"9","<=30"
"4","ICN","Korean","<=50","1","4","Leisure",5,3,"1","2",1,"3","3","1",52,1,"5",1500,50,"2","30~80"
"5","ICN","Korean","<=50","1","1","Leisure",5,3,"1","2",2,"3","4","1",52,1,"5",900,10,"1","80~150"
"6","ICN","Korean","<=50","1","1","Leisure",6,2,"1","2",1,"3","3","1",48,1,"1",3,90,"5","30~80"
"7","ICN","Foreign","<=50","2","1","Leisure",3,4,"1","2",1,"4","1","1",43,1,"6",10000,60,"2","<=30"
"8","ICN","Korean","<=50","2","1","Leisure",6,2,"1","2",2,"3","3","1",48,1,"1",11655,60,"5","80~150"
"9","ICN","Korean","<=50","2","4","Leisure",15,4,"1","2",1,"3","3","1",70,1,"1",6579,56,"2","30~80"
"10","ICN","Korean","<=50","2","1","Leisure",5,4,"1","2",1,"3","2","3",80,2,"3",1000,56,"12","0"
"11","ICN","Foreign","<=50","2","1","Leisure",30,2,"1","2",0,"4","3","1",108,2,"3",1050,56,"12","0"
"12","ICN","Korean","<=50","1","1","Leisure",16,2,"1","1",3,"4","2","1",100,1,"3",1300,40,"1","80~150"
"13","ICN","Korean","<=50","1","1","Leisure",40,0,"1","2",2,"4","4","1",100,1,"6",10000,120,"8","80~150"
"14","ICN","Foreign","<=50","2","1","Leisure",30,2,"1","2",0,"4","3","1",108,2,"3",1050,8,"12","0"
"15","ICN","Korean","<=50","1","1","Business",3,2,"1","2",4,"3","3","1",59,1,"1",0,15,"5","80~150"
"16","ICN","Korean",">50","1","1","Leisure",7,9,"1","2",3,"3","3","1",50,2,"3",6579,56,"12","0"
"17","ICN","Korean","<=50","2","4","Leisure",4,4,"1","2",2,"3","3","1",52,1,"5",3700,100,"5","30~80"
"18","ICN","Korean","<=50","2","1","Leisure",4,4,"1","2",0,"3","3","1",52,1,"5",6579,56,"8","0"
"19","ICN","Korean",">50","2","1","Leisure",7,2,"1","1",3,"1","3","2",26,1,"4",10000,65,"7","80~150"
"20","ICN","Foreign","<=50","1","1","Leisure",2,3,"1","2",0,"2","2","1",20,2,"2",1050,40,"12","0"
"21","ICN","Foreign","<=50","2","5","Leisure",5,1,"1","2",12,"2","2","1",19,2,"5",6579,56,"12","0"
"22","ICN","Foreign","<=50","2","2","Leisure",20,1,"1","2",2,"1","3","1",30,1,"5",6900,43,"2","<=30"
"23","ICN","Korean","<=50","1","1","Leisure",4,3,"1","2",3,"2","2","1",48,1,"2",3000,5,"2","30~80"
"24","ICN","Korean","<=50","2","1","Leisure",5,1,"1","2",4,"2","1","1",60,1,"6",13000,60,"9","30~80"
"25","ICN","Korean","<=50","1","1","Business",3,2,"1","2",2,"2","2","1",27,1,"5",1150,30,"2","30~80"
"26","ICN","Korean","<=50","1","1","Leisure",4,3,"1","1",1,"3","2","1",52,2,"3",6579,56,"12","0"
"27","ICN","Korean","<=50","1","1","Business",30,0,"1","2",5,"1","2","1",54,1,"2",3000,15,"3","30~80"
"28","ICN","Korean","<=50","1","1","Business",99,0,"1","2",6,"1","2","1",20,1,"1",6579,56,"1","150~200>"
"29","ICN","Foreign","<=50","1","1","Leisure",5,3,"1","1",2,"3","2","1",40,2,"2",13300,45,"12","0"
"30","ICN","Korean","<=50","2","1","Leisure",7,3,"1","2",3,"3","3","1",60,1,"3",3000,15,"2","30~80"
"31","ICN","Korean","<=50","1","1","Business",15,1,"1","2",80,"1","2","2",26,2,"2",13000,45,"12","0"
"32","ICN","Korean",">50","2","1","Leisure",6,4,"1","1",0,"1","3","1",26,2,"5",6579,56,"12","0"
"33","ICN","Korean","<=50","2","1","Leisure",5,4,"1","2",4,"3","2","1",60,1,"6",15000,60,"12","30~80"
"34","ICN","Korean","<=50","2","1","Leisure",5,4,"1","2",0,"3","2","1",53,1,"6",13000,60,"3","0"
"35","ICN","Korean","<=50","1","1","Leisure",6,2,"1","2",2,"3","2","1",23,1,"6",14000,60,"2","150~200>"
"36","ICN","Korean","<=50","2","1","Leisure",3,12,"1","1",0,"3","3","1",52,1,"6",15000,160,"5","0"
"37","ICN","Korean","<=50","1","1","Leisure",5,1,"1","2",0,"3","3","1",62,1,"6",10000,60,"2","80~150"
"38","ICN","Korean","<=50","1","1","Leisure",4,3,"1","2",2,"3","3","2",52,2,"8",8501,90,"2","80~150"
"39","ICN","Korean","<=50","2","1","Leisure",5,3,"1","1",0,"3","2","1",50,2,"2",2400,10,"12","0"
"40","ICN","Korean","<=50","1","1","Business",10,0,"1","2",2,"3","3","1",55,1,"6",9000,40,"2","0"
"41","ICN","Foreign",">50","2","1","Leisure",12,2,"1","2",2,"4","4","2",71,1,"1",11655,60,"9","150~200>"
"42","ICN","Korean","<=50","1","1","Leisure",6,2,"1","1",4,"4","3","1",117,1,"2",11000,30,"2","30~80"
"43","ICN","Korean","<=50","2","1","Leisure",6,2,"1","2",0,"3","3","1",52,1,"3",6579,56,"2","30~80"
"44","ICN","Korean","<=50","1","1","Leisure",6,2,"1","2",1,"3","3","1",52,1,"3",6579,56,"2","30~80"
"45","ICN","Korean","<=50","2","1","Leisure",4,4,"1","1",1,"3","3","1",52,1,"5",6579,56,"9","30~80"
"46","ICN","Foreign","<=50","2","1","Leisure",5,2,"1","2",2,"3","1","1",56,2,"2",3300,10,"12","0"
"47","ICN","Korean","<=50","1","2","Business",10,2,"1","2",4,"1","3","2",49,1,"1",10000,56,"1","30~80"
"48","ICN","Korean","<=50","1","1","Business",6,2,"1","2",0,"4","2","1",222,2,"1",3794,15,"12","0"
"49","ICN","Korean","<=50","1","4","Leisure",5,2,"1","2",3,"3","4","1",50,1,"6",15000,60,"2","30~80"
"50","ICN","Foreign","<=50","1","4","Leisure",5,2,"1","1",1,"3","4","1",30,2,"1",7000,40,"12","0"
"51","ICN","Korean","<=50","2","1","Leisure",5,2,"1","2",0,"3","3","1",52,2,"5",1050,25,"12","0"
"52","ICN","Korean","<=50","1","1","Leisure",5,2,"1","2",1,"3","3","1",52,1,"7",6900,40,"12","30~80"
"53","ICN","Korean","<=50","2","1","Business",5,1,"1","2",5,"3","2","1",60,1,"7",8000,56,"2","80~150"
"54","ICN","Korean","<=50","1","1","Leisure",9,0,"1","2",2,"3","2","1",60,1,"7",6579,56,"8","0"
"55","ICN","Korean",">50","2","1","Leisure",5,4,"1","1",2,"3","2","1",70,1,"2",9000,15,"8","0"
"56","ICN","Korean",">50","2","5","Leisure",7,3,"1","2",2,"3","3","1",50,2,"1",6579,56,"12","0"
"57","ICN","Korean","<=50","2","4","Business",5,2,"1","2",3,"3","3","1",76,1,"6",24000,90,"2","150~200>"
"58","ICN","Korean","<=50","2","1","Leisure",6,2,"1","2",0,"3","3","1",36,1,"2",2500,10,"7","30~80"
"59","ICN","Korean","<=50","1","1","Leisure",6,1,"1","2",1,"3","3","1",40,1,"6",11000,20,"1","30~80"
"60","ICN","Korean","<=50","2","1","Leisure",5,1,"1","2",3,"3","3","1",31,2,"3",1050,15,"12","0"
"61","ICN","Korean","<=50","2","4","Leisure",5,2,"1","2",3,"3","3","1",31,1,"2",4300,15,"2","150~200>"
"62","ICN","Korean",">50","2","1","Leisure",30,1,"1","2",3,"3","3","1",50,2,"2",10000,56,"12","0"
"63","ICN","Korean","<=50","2","1","Leisure",6,3,"1","2",2,"3","2","1",50,1,"6",15000,56,"2","80~150"
"64","ICN","Korean","<=50","2","1","Leisure",7,1,"1","2",2,"3","3","1",56,2,"2",2700,5,"12","0"
"65","ICN","Korean","<=50","1","1","Leisure",5,2,"1","2",2,"1","2","1",28,2,"1",7000,20,"12","0"
"66","ICN","Korean","<=50","2","1","Leisure",60,2,"1","2",2,"3","2","1",52,2,"2",5000,15,"12","0"
"67","ICN","Foreign","<=50","2","1","Leisure",10,1,"1","2",3,"3","3","1",53,2,"5",1200,30,"12","0"
"68","ICN","Korean","<=50","2","1","Leisure",5,2,"1","2",1,"3","4","1",58,2,"1",6579,56,"12","0"
"69","ICN","Korean","<=50","1","1","Business",5,0,"1","2",7,"3","4","2",52,1,"6",15000,70,"1","150~200>"
"70","ICN","Foreign","<=50","1","1","Leisure",10,0,"1","2",3,"3","3","1",53,2,"5",1200,30,"12","0"
"71","ICN","Korean","<=50","1","1","Leisure",16,0,"1","2",3,"3","2","1",69,1,"2",4000,10,"7","80~150"
"72","ICN","Korean",">50","2","1","Leisure",60,2,"1","2",0,"3","3","1",52,2,"2",5000,15,"12","0"
"73","ICN","Korean",">50","1","1","Business",60,0,"1","2",1,"3","3","1",82,1,"2",4000,20,"2","80~150"
"74","ICN","Korean",">50","2","1","Leisure",5,2,"1","2",1,"3","4","1",58,2,"1",6579,56,"12","0"
"75","ICN","Korean",">50","2","1","Leisure",7,3,"1","2",0,"3","3","1",50,2,"1",6579,56,"12","0"
"76","ICN","Korean","<=50","1","1","Leisure",12,1,"1","2",5,"3","2","1",30,1,"5",2000,30,"2","80~150"
"77","ICN","Korean","<=50","1","1","Leisure",5,6,"1","1",3,"3","3","2",50,1,"5",6579,56,"5","150~200>"
"78","ICN","Foreign","<=50","1","1","Leisure",7,1,"1","2",2,"1","3","1",50,2,"5",1000,56,"12","0"
"79","ICN","Foreign","<=50","1","1","Leisure",3,3,"1","2",2,"2","2","1",20,1,"1",6579,56,"2","80~150"
"80","ICN","Korean","<=50","1","5","Leisure",4,0,"1","2",6,"3","3","1",50,1,"2",5900,10,"4","80~150"
"81","ICN","Foreign","<=50","2","4","Leisure",6,0,"1","2",0,"3","4","1",27,2,"3",1100,25,"12","0"
"82","ICN","Korean","<=50","2","4","Business",100,1,"1","2",2,"3","3","1",56,1,"6",16000,60,"8","80~150"
"83","ICN","Korean","<=50","1","1","Business",5,3,"1","2",2,"3","1","1",40,1,"2",6000,20,"2","80~150"
"84","ICN","Korean","<=50","2","1","Leisure",10,0,"1","2",1,"1","2","1",57,1,"5",4500,80,"3","30~80"
"85","ICN","Korean","<=50","2","1","Leisure",37,10,"1","2",2,"2","4","1",52,1,"5",1200,60,"8","30~80"
"86","ICN","Foreign","<=50","1","1","Business",365,1,"1","2",1,"1","3","1",53,1,"5",4500,80,"8","30~80"
"87","ICN","Korean","<=50","2","1","Leisure",5,2,"1","2",1,"3","3","1",52,2,"5",6579,56,"12","0"
"88","ICN","Foreign",">50","2","1","Leisure",7,4,"1","1",1,"3","4","1",50,1,"1",8501,90,"7","30~80"
"89","ICN","Korean","<=50","1","1","Leisure",10,5,"1","2",3,"3","4","1",40,1,"1",1500,50,"1","30~80"
