Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,Destination,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
ICN,Korean,<=50,1,1,Leisure,5,1,1,2,0,3,2,1,40,1,5,1500,90,2,4
ICN,Korean,<=50,1,1,Leisure,5,5,1,1,2,3,4,1,70,1,1,6000,60,2,3
ICN,Korean,>50,2,1,Leisure,5,6,1,2,0,3,4,1,70,1,1,6579,56,9,1
ICN,Korean,<=50,1,4,Leisure,5,3,1,2,1,3,3,1,52,1,5,1500,50,2,2
ICN,Korean,<=50,1,1,Leisure,5,3,1,2,2,3,4,1,52,1,5,900,10,1,4
ICN,Korean,<=50,1,1,Leisure,6,2,1,2,1,3,3,1,48,1,1,3,90,5,3
ICN,Foreign,<=50,2,1,Leisure,3,4,1,2,1,4,1,1,43,1,6,10000,60,2,1
ICN,Korean,<=50,2,1,Leisure,6,2,1,2,2,3,3,1,48,1,1,11655,60,5,4
ICN,Korean,<=50,2,4,Leisure,15,4,1,2,1,3,3,1,70,1,1,6579,56,2,2
ICN,Korean,<=50,2,1,Leisure,5,4,1,2,1,3,2,3,80,2,3,1000,56,12,NA
ICN,Foreign,<=50,2,1,Leisure,30,2,1,2,0,4,3,1,108,2,3,1050,56,12,NA
ICN,Korean,<=50,1,1,Leisure,16,2,1,1,3,4,2,1,100,1,3,1300,40,1,4
ICN,Korean,<=50,1,1,Leisure,40,0,1,2,2,4,4,1,100,1,6,10000,120,8,4
ICN,Foreign,<=50,2,1,Leisure,30,2,1,2,0,4,3,1,108,2,3,1050,8,12,NA
ICN,Korean,<=50,1,1,Business,3,2,1,2,4,3,3,1,59,1,1,0,15,5,5
ICN,Korean,>50,1,1,Leisure,7,9,1,2,3,3,3,1,50,2,3,6579,56,12,NA
ICN,Korean,<=50,2,4,Leisure,4,4,1,2,2,3,3,1,52,1,5,3700,100,5,2
ICN,Korean,<=50,2,1,Leisure,4,4,1,2,0,3,3,1,52,1,5,6579,56,8,NA
ICN,Korean,>50,2,1,Leisure,7,2,1,1,3,1,3,2,26,1,4,10000,65,7,4
ICN,Foreign,<=50,1,1,Leisure,2,3,1,2,0,2,2,1,20,2,2,1050,40,12,NA
ICN,Foreign,<=50,2,5,Leisure,5,1,1,2,12,2,2,1,19,2,5,6579,56,12,NA
ICN,Foreign,<=50,2,2,Leisure,20,1,1,2,2,1,3,1,30,1,5,6900,43,2,1
ICN,Korean,<=50,1,1,Leisure,4,3,1,2,3,2,2,1,48,1,2,3000,5,2,3
