Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,FrequentFlightDestination,Destination,FlightNo,DepartureHr,DepartureMn,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income,MileageAirline,Mileage
1,3,27,1,1,1,5,1,1,2,0,1,3,,17,,2,1,40,1,5,1500,90,2,4,4,
1,3,40,1,1,1,5,5,1,1,2,1,3,7C2401,,,4,1,70,1,1,6000,60,2,3,1,8000
1,3,69,2,1,1,5,6,1,2,0,1,3,7C2401,,,4,1,70,1,1,,56,9,1,,
1,3,29,1,4,1,5,3,1,2,1,3,3,TW101,20,25,3,1,,1,5,1500,50,2,2,2,40000
1,3,28,1,1,1,5,3,1,2,2,1,3,,8,40,4,1,,1,5,900,10,1,4,4,
1,3,35,1,1,1,6,2,1,2,1,4,3,,20,5,3,1,48,1,1,3,90,5,3,2,8000
1,4,31,2,1,1,3,4,1,2,1,1,4,CX421,9,25,1,1,43,1,6,10000,60,2,1,3,
1,3,33,2,1,1,6,2,1,2,2,1,3,,20,5,3,1,48,1,1,,60,5,4,1,5000
1,1,34,2,4,1,15,4,1,2,1,1,3,KE641,18,40,3,1,70,1,1,,56,2,2,1,5000
1,1,40,2,1,1,5,4,1,2,1,1,3,,14,20,2,3,80,2,3,1000,56,12,,,
1,4,22,2,1,1,30,2,1,2,0,5,4,CX419,20,5,3,1,108,2,3,1050,56,12,,,
1,1,36,1,1,1,16,2,1,1,3,1,4,,,,2,1,100,1,3,1300,40,1,4,1,90000
1,2,22,1,1,1,40,0,1,2,2,"1,5,6",4,,,,4,1,100,1,6,10000,120,8,4,,
1,4,22,2,1,1,30,2,1,2,0,5,4,CX419,20,0,3,1,108,2,3,1050,8,12,,,
1,1,44,1,1,2,3,2,1,2,4,1,3,KE5643,18,40,3,1,59,1,1,0,15,5,5,1,100000
1,3,57,1,1,1,7,9,1,2,3,"1,2",3,,20,30,3,1,50,2,3,,56,12,,,
1,3,43,2,4,1,4,4,1,2,2,1,3,7C2301,19,35,3,1,,1,5,3700,100,5,2,,
1,3,21,2,1,1,4,4,1,2,0,1,3,7C2301,19,35,3,1,,1,5,,56,8,,,
1,2,67,2,1,1,7,2,1,1,3,1,1,OZ3195,8,30,3,2,26,1,4,10000,65,7,4,,
1,4,47,1,1,1,2,3,1,2,0,1,2,,5,45,2,1,20,2,2,1050,40,12,,,
1,4,22,2,5,1,5,1,1,2,12,6,2,ZW893,17,45,2,1,19,2,5,,56,12,,,
1,4,29,2,2,1,20,1,1,2,2,1,1,,19,10,3,1,30,1,5,6900,43,2,1,4,
1,1,38,1,1,1,4,3,1,2,3,5,2,,,,2,1,48,1,2,3000,5,2,3,,
1,2,39,2,1,1,5,1,1,2,4,"3,6",2,OZ102,9,0,1,1,60,1,6,13000,60,9,3,,
1,2,28,1,1,2,3,2,1,2,2,3,2,,,,2,1,27,1,5,1150,30,2,3,,
1,2,43,1,1,1,4,3,1,1,1,1,3,,,,2,1,,2,3,,56,12,,,
1,2,31,1,1,2,30,0,1,2,5,2,1,,12,40,2,1,54,1,2,3000,15,3,3,,
1,1,34,1,1,2,99,0,1,2,6,"2,4",1,,13,5,2,1,20,1,1,,56,1,7,4,
1,4,47,1,1,1,5,3,1,1,2,1,3,965,13,35,2,1,,2,2,13300,45,12,,,
1,,61,2,1,1,5,27,1,1,0,2,1,,,,2,1,154,2,3,,15,12,,,
1,3,30,2,1,1,7,3,1,2,3,1,3,,20,5,3,1,60,1,3,3000,15,2,3,4,
1,2,44,1,1,2,15,1,1,2,80,2,1,OZ307,14,20,2,2,26,2,2,13000,45,12,,,
1,2,55,2,1,1,6,4,1,1,0,1,1,OZ749,20,10,3,1,26,2,5,,56,12,,,
1,3,27,2,1,1,5,4,1,2,4,1,3,LJ001,17,20,2,1,60,1,6,15000,60,12,2,1,24000
1,3,25,2,1,1,5,4,1,2,0,2,3,LJ001,17,20,2,1,53,1,6,13000,60,3,,,
1,3,28,1,1,1,6,2,1,2,2,5,3,ZE511,17,30,2,1,23,1,6,14000,60,2,7,,
1,2,25,2,1,1,3,12,1,1,0,7,3,OZ757,20,20,3,1,,1,6,15000,160,5,,,
1,1,31,1,1,1,5,1,1,2,0,"1,4",3,KE687,19,0,3,1,62,1,6,10000,60,2,4,1,8000
1,3,30,1,1,1,4,3,1,2,2,3,3,7C2301,19,35,3,2,,2,8,,90,2,5,1,
1,1,42,2,1,1,5,3,1,1,0,1,3,KE651,5,40,2,1,50,2,2,2400,10,12,,,
1,2,44,1,1,4,10,0,1,2,2,1,3,OZ703,19,50,3,1,55,1,6,9000,40,2,,4,
1,4,69,2,1,1,12,2,1,2,2,1,4,,22,0,4,2,,1,1,,60,9,7,,
1,1,30,1,1,1,6,2,1,1,4,5,4,KE629,18,0,3,1,,1,2,11000,30,2,3,1,3000
1,2,30,2,1,1,6,2,1,2,0,7,3,OZ709,20,20,3,1,,1,3,,56,2,3,,
1,2,32,1,1,1,6,2,1,2,1,7,3,OZ709,20,20,3,1,,1,3,,56,2,3,,
1,2,47,2,1,1,4,4,1,1,1,1,3,OZ3195,20,30,3,1,,1,5,,56,9,3,,
1,4,24,2,1,1,5,2,1,2,2,"1,4,5",3,Z2,8,30,1,1,56,2,2,3300,10,12,,,
1,1,33,1,2,2,10,2,1,2,4,"1,2,3",1,,7,45,3,2,49,1,1,10000,56,1,2,,
1,1,35,1,1,2,6,2,1,2,0,1,4,KE6221,14,5,2,1,222,2,1,,15,12,,,
1,3,33,1,4,1,5,2,1,2,3,1,3,,21,40,4,1,50,1,6,15000,60,2,3,1,30000
1,4,30,1,4,1,5,2,1,1,1,1,3,J195,21,35,4,1,30,2,1,7000,40,12,,,
1,2,40,2,1,1,5,2,1,2,0,1,3,OZ747,19,50,3,1,,2,5,1050,25,12,,,
1,2,42,1,1,1,5,2,1,2,1,1,3,OZ747,19,50,3,1,,1,7,6900,40,12,2,,
1,1,31,2,1,2,5,1,1,2,5,5,3,,17,20,2,1,60,1,7,8000,56,2,4,,
1,1,21,1,1,1,9,0,1,2,2,1,3,,17,20,2,1,60,1,7,,56,8,,,
1,2,52,2,1,1,5,4,1,1,2,1,3,,17,0,2,1,70,1,2,9000,15,8,,,
1,3,71,2,5,1,7,3,1,2,2,5,3,,8,5,3,1,50,2,1,,56,12,,,
1,2,37,2,4,2,5,2,1,2,3,1,3,OZ2757,20,20,3,1,76,1,6,24000,90,2,6,1,200000
1,2,41,2,1,1,6,2,1,2,0,1,3,,7,55,3,1,36,1,2,2500,10,7,2,,
1,3,27,1,1,1,6,1,1,2,1,1,3,LJ015,19,20,3,1,40,1,6,11000,20,1,2,1,5000
