"","Airport","Airline","Age","Gender","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","NoTripsLastYear","FrequentFlightDestination","Destination","DepartureTime","SeatClass","Airfare","NoTransport","ModeTransport","AccessTime","Occupation","Income"
"1","1","3",40,"1","Korean","Leisure",5,5,"City",2,"SA","Other","4","Economic",70,1,"Personal",60,"w/income","30~150"
"2","1","3",69,"2","Korean","Leisure",5,6,"City",0,"SA","Other","4","Economic",70,1,"Personal",56,"no income","<=30"
"3","1","3",29,"1","Foreign","Leisure",5,3,"City",1,"Japan","Other","3","Economic",44.5681818181818,1,"Public",50,"w/income","30~150"
"4","1","3",28,"1","Korean","Leisure",5,3,"City",2,"SA","Other","4","Economic",44.5681818181818,1,"Public",10,"w/income","30~150"
"5","1","3",35,"1","Korean","Leisure",6,2,"City",1,"Others","Other","3","Economic",48,1,"Personal",90,"w/income","30~150"
"6","1","4",31,"2","Korean","Leisure",3,4,"City",1,"SA","Other","1","Economic",43,1,"Public",60,"w/income","<=30"
"7","1","3",33,"2","Korean","Leisure",6,2,"City",2,"SA","Other","3","Economic",48,1,"Personal",60,"w/income","30~150"
"8","1","1",40,"2","Korean","Leisure",5,4,"City",1,"SA","Other","2","Other",80,2,"Public",56,"Other","00"
"9","1","4",22,"2","Korean","Leisure",30,2,"City",0,"Others","Other","3","Economic",108,2,"Public",56,"Other","00"
"10","1","1",36,"1","Korean","Leisure",16,2,"City",3,"SA","Other","2","Economic",100,1,"Public",40,"w/income","30~150"
"11","1","2",22,"1","Korean","Leisure",40,0,"City",2,"Others","Other","4","Economic",100,1,"Public",120,"no income","30~150"
"12","1","4",22,"2","Korean","Leisure",30,2,"City",0,"Others","Other","3","Economic",108,2,"Public",8,"Other","00"
"13","1","1",44,"1","Korean","Other",3,2,"City",4,"SA","Other","3","Economic",59,1,"Personal",15,"w/income","30~150"
"14","1","3",57,"1","Korean","Leisure",7,9,"City",3,"Others","Other","3","Economic",50,2,"Public",56,"Other","00"
"15","1","3",43,"2","Foreign","Leisure",4,4,"City",2,"SA","Other","3","Economic",44.5681818181818,1,"Public",100,"w/income","30~150"
"16","1","3",21,"2","Korean","Leisure",4,4,"City",0,"SA","Other","3","Economic",44.5681818181818,1,"Public",56,"no income","00"
"17","1","4",22,"2","Foreign","Leisure",5,1,"City",12,"Others","Japan","2","Economic",19,2,"Public",56,"Other","00"
"18","1","1",38,"1","Korean","Leisure",4,3,"City",3,"Others","Japan","2","Economic",48,1,"Personal",5,"w/income","30~150"
"19","1","2",28,"1","Korean","Other",3,2,"City",2,"Japan","Japan","2","Economic",27,1,"Public",30,"w/income","30~150"
"20","1","2",43,"1","Korean","Leisure",4,3,"City",1,"SA","Other","2","Economic",60.6923076923077,2,"Public",56,"Other","00"
"21","1","2",31,"1","Korean","Other",30,0,"City",5,"China","China","2","Economic",54,1,"Personal",15,"w/income","30~150"
"22","1","1",34,"1","Korean","Other",99,0,"City",6,"Others","China","2","Economic",20,1,"Personal",56,"w/income","150~200>"
"23","1","4",47,"1","Korean","Leisure",5,3,"City",2,"SA","Other","2","Economic",40.4,2,"Personal",45,"Other","00"
"24","1","2",44,"1","Korean","Other",15,1,"City",80,"China","China","2","Other",26,2,"Personal",45,"Other","00"
"25","1","2",55,"2","Korean","Leisure",6,4,"City",0,"SA","China","3","Economic",26,2,"Public",56,"Other","00"
"26","1","3",28,"1","Korean","Leisure",6,2,"City",2,"Others","Other","2","Economic",23,1,"Public",60,"w/income","150~200>"
"27","1","1",31,"1","Korean","Leisure",5,1,"City",0,"Others","Other","3","Economic",62,1,"Public",60,"w/income","30~150"
"28","1","3",30,"1","Korean","Leisure",4,3,"City",2,"Japan","Other","3","Other",44.5681818181818,2,"Public",90,"w/income","30~150"
"29","1","1",42,"2","Korean","Leisure",5,3,"City",0,"SA","Other","2","Economic",50,2,"Personal",10,"Other","00"
"30","1","4",69,"2","Korean","Leisure",12,2,"City",2,"SA","Other","4","Other",71.3333333333333,1,"Personal",60,"no income","150~200>"
"31","1","1",30,"1","Korean","Leisure",6,2,"City",4,"Others","Other","3","Economic",134.571428571429,1,"Personal",30,"w/income","30~150"
"32","1","2",32,"1","Korean","Leisure",6,2,"City",1,"Others","Other","3","Economic",60.6923076923077,1,"Public",56,"w/income","30~150"
"33","1","2",47,"2","Korean","Leisure",4,4,"City",1,"SA","Other","3","Economic",60.6923076923077,1,"Public",56,"no income","30~150"
"34","1","1",35,"1","Korean","Other",6,2,"City",0,"SA","Other","2","Economic",222,2,"Personal",15,"Other","00"
"35","1","3",33,"1","Foreign","Leisure",5,2,"City",3,"SA","Other","4","Economic",50,1,"Public",60,"w/income","30~150"
"36","1","4",30,"1","Foreign","Leisure",5,2,"City",1,"SA","Other","4","Economic",30,2,"Personal",40,"Other","00"
"37","1","2",40,"2","Korean","Leisure",5,2,"City",0,"SA","Other","3","Economic",60.6923076923077,2,"Public",25,"Other","00"
"38","1","1",21,"1","Korean","Leisure",9,0,"City",2,"SA","Other","2","Economic",60,1,"Public",56,"no income","00"
"39","1","2",52,"2","Korean","Leisure",5,4,"City",2,"SA","Other","2","Economic",70,1,"Personal",15,"no income","00"
"40","1","3",71,"2","Foreign","Leisure",7,3,"City",2,"Others","Other","3","Economic",50,2,"Personal",56,"Other","00"
"41","1","2",37,"2","Foreign","Other",5,2,"City",3,"SA","Other","3","Economic",76,1,"Public",90,"w/income","150~200>"
"42","1","3",27,"1","Korean","Leisure",6,1,"City",1,"SA","Other","3","Economic",40,1,"Public",20,"w/income","30~150"
"43","1","3",29,"2","Foreign","Leisure",5,2,"City",3,"SA","Other","3","Economic",31,1,"Personal",15,"w/income","150~200>"
"44","1","2",59,"2","Korean","Leisure",30,1,"City",3,"SA","Other","3","Economic",50,2,"Personal",56,"Other","00"
"45","1","1",30,"2","Korean","Leisure",6,3,"City",2,"Others","Other","2","Economic",50,1,"Public",56,"w/income","30~150"
"46","1","3",29,"2","Korean","Leisure",7,1,"City",2,"Others","Other","3","Economic",56,2,"Personal",5,"Other","00"
"47","1","2",45,"1","Korean","Other",5,0,"City",7,"SA","Other","4","Other",60.6923076923077,1,"Public",70,"w/income","150~200>"
"48","1","4",41,"1","Korean","Leisure",10,0,"City",3,"Others","Other","3","Economic",53,2,"Public",30,"Other","00"
"49","1","1",59,"2","Korean","Leisure",60,2,"City",0,"SA","Other","3","Economic",60.7916666666667,2,"Personal",15,"Other","00"
"50","1","3",80,"2","Korean","Leisure",7,3,"City",0,"SA","Other","3","Economic",50,2,"Personal",56,"Other","00"
"51","1","2",35,"1","Korean","Leisure",12,1,"City",5,"SA","Other","2","Economic",30,1,"Public",30,"w/income","30~150"
"52","1","1",50,"1","Korean","Leisure",5,6,"City",3,"SA","Other","3","Other",50,1,"Public",56,"w/income","150~200>"
"53","1","4",30,"1","Korean","Leisure",7,1,"City",2,"SA","China","3","Economic",50,2,"Public",56,"Other","00"
"54","1","4",42,"1","Korean","Leisure",3,3,"City",2,"Others","Japan","2","Economic",20,1,"Personal",56,"w/income","30~150"
"55","1","1",35,"1","Foreign","Leisure",4,0,"City",6,"Others","Other","3","Economic",50,1,"Personal",10,"w/income","30~150"
"56","1","1",23,"2","Foreign","Other",100,1,"City",2,"SA","Other","3","Economic",56,1,"Public",60,"no income","30~150"
"57","1","3",29,"1","Korean","Other",5,3,"City",2,"Others","Other","1","Economic",40,1,"Personal",20,"w/income","30~150"
"58","1","1",22,"2","Korean","Leisure",10,0,"City",1,"Others","China","2","Economic",57,1,"Public",80,"w/income","30~150"
"59","1","2",23,"2","Korean","Leisure",37,10,"City",2,"Japan","Japan","4","Economic",52,1,"Public",60,"no income","30~150"
"60","1","2",27,"2","Korean","Leisure",5,2,"City",1,"SA","Other","3","Economic",60.6923076923077,2,"Public",56,"Other","00"
"61","1","2",22,"1","Korean","Other",180,0,"City",0,"Others","China","3","Economic",26,2,"Public",56,"no income","30~150"
