"","Airport","Airline","Age","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","NoTripsLastYear","FrequentFlightDestination","Destination","DepartureTime","Airfare","NoTransport","ModeTransport","AccessTime","Occupation","Income"
"1","ICN","LCC",27,"Korean","Leisure",5,1,"1",0,"SA","Other","2",40,1,"5",90,"w/income","30~150"
"2","ICN","LCC",69,"Korean","Leisure",5,6,"1",0,"SA","Other","4",70,1,"1",56,"no income","<=30"
"3","ICN","LCC",29,"Foreign","Leisure",5,3,"1",1,"Japan","Other","3",44.5681818181818,1,"5",50,"w/income","30~150"
"4","ICN","Foreign",31,"Korean","Leisure",3,4,"1",1,"SA","Other","1",43,1,"6",60,"w/income","<=30"
"5","ICN","LCC",33,"Korean","Leisure",6,2,"1",2,"SA","Other","3",48,1,"1",60,"w/income","30~150"
"6","ICN","Korean",40,"Korean","Leisure",5,4,"1",1,"SA","Other","2",80,2,"3",56,"Other","00"
"7","ICN","Foreign",22,"Korean","Leisure",30,2,"1",0,"Others","Other","3",108,2,"3",56,"Other","00"
"8","ICN","Korean",22,"Korean","Leisure",40,0,"1",2,"Others","Other","4",100,1,"6",120,"no income","30~150"
"9","ICN","Korean",44,"Korean","Other",3,2,"1",4,"SA","Other","3",59,1,"1",15,"w/income","30~150"
"10","ICN","LCC",57,"Korean","Leisure",7,9,"1",3,"Others","Other","3",50,2,"3",56,"Other","00"
"11","ICN","LCC",43,"Foreign","Leisure",4,4,"1",2,"SA","Other","3",44.5681818181818,1,"5",100,"w/income","30~150"
"12","ICN","Foreign",47,"Korean","Leisure",2,3,"1",0,"SA","Japan","2",20,2,"2",40,"Other","00"
"13","ICN","Foreign",29,"Foreign","Leisure",20,1,"1",2,"SA","China","3",30,1,"5",43,"w/income","<=30"
"14","ICN","Korean",39,"Korean","Leisure",5,1,"1",4,"Others","Japan","1",60,1,"6",60,"no income","30~150"
"15","ICN","Korean",43,"Korean","Leisure",4,3,"1",1,"SA","Other","2",60.6923076923077,2,"3",56,"Other","00"
"16","ICN","LCC",30,"Korean","Leisure",7,3,"1",3,"SA","Other","3",60,1,"3",15,"w/income","30~150"
"17","ICN","Korean",44,"Korean","Other",15,1,"1",80,"China","China","2",26,2,"2",45,"Other","00"
"18","ICN","LCC",27,"Korean","Leisure",5,4,"1",4,"SA","Other","2",60,1,"6",60,"Other","30~150"
"19","ICN","LCC",25,"Korean","Leisure",5,4,"1",0,"China","Other","2",53,1,"6",60,"w/income","00"
"20","ICN","Korean",25,"Korean","Leisure",3,12,"1",0,"Others","Other","3",60.6923076923077,1,"6",160,"w/income","00"
"21","ICN","Korean",31,"Korean","Leisure",5,1,"1",0,"Others","Other","3",62,1,"6",60,"w/income","30~150"
"22","ICN","LCC",30,"Korean","Leisure",4,3,"1",2,"Japan","Other","3",44.5681818181818,2,"8",90,"w/income","30~150"
"23","ICN","Korean",42,"Korean","Leisure",5,3,"1",0,"SA","Other","2",50,2,"2",10,"Other","00"
"24","ICN","Korean",44,"Korean","Other",10,0,"1",2,"SA","Other","3",55,1,"6",40,"w/income","00"
"25","ICN","Korean",30,"Korean","Leisure",6,2,"1",4,"Others","Other","3",134.571428571429,1,"2",30,"w/income","30~150"
"26","ICN","Korean",30,"Korean","Leisure",6,2,"1",0,"Others","Other","3",60.6923076923077,1,"3",56,"w/income","30~150"
"27","ICN","Korean",32,"Korean","Leisure",6,2,"1",1,"Others","Other","3",60.6923076923077,1,"3",56,"w/income","30~150"
"28","ICN","Korean",47,"Korean","Leisure",4,4,"1",1,"SA","Other","3",60.6923076923077,1,"5",56,"no income","30~150"
"29","ICN","Foreign",30,"Foreign","Leisure",5,2,"1",1,"SA","Other","4",30,2,"1",40,"Other","00"
"30","ICN","Korean",40,"Korean","Leisure",5,2,"1",0,"SA","Other","3",60.6923076923077,2,"5",25,"Other","00"
"31","ICN","Korean",42,"Korean","Leisure",5,2,"1",1,"SA","Other","3",60.6923076923077,1,"7",40,"Other","30~150"
"32","ICN","Korean",31,"Korean","Other",5,1,"1",5,"Others","Other","2",60,1,"7",56,"w/income","30~150"
"33","ICN","Korean",21,"Korean","Leisure",9,0,"1",2,"SA","Other","2",60,1,"7",56,"no income","00"
"34","ICN","Korean",52,"Korean","Leisure",5,4,"1",2,"SA","Other","2",70,1,"2",15,"no income","00"
"35","ICN","Korean",37,"Foreign","Other",5,2,"1",3,"SA","Other","3",76,1,"6",90,"w/income","150~200>"
"36","ICN","Korean",41,"Korean","Leisure",6,2,"1",0,"SA","Other","3",36,1,"2",10,"w/income","30~150"
"37","ICN","LCC",27,"Korean","Leisure",6,1,"1",1,"SA","Other","3",40,1,"6",20,"w/income","30~150"
"38","ICN","LCC",28,"Korean","Leisure",5,1,"1",3,"Others","Other","3",31,2,"3",15,"Other","00"
"39","ICN","Korean",59,"Korean","Leisure",30,1,"1",3,"SA","Other","3",50,2,"2",56,"Other","00"
"40","ICN","Korean",26,"Korean","Leisure",5,2,"1",2,"China","China","2",28,2,"1",20,"Other","00"
"41","ICN","Korean",25,"Korean","Leisure",60,2,"1",2,"SA","Other","2",60.7916666666667,2,"2",15,"Other","00"
"42","ICN","Foreign",37,"Korean","Leisure",10,1,"1",3,"Others","Other","3",53,2,"5",30,"Other","00"
"43","ICN","Korean",45,"Korean","Other",5,0,"1",7,"SA","Other","4",60.6923076923077,1,"6",70,"w/income","150~200>"
"44","ICN","Korean",59,"Korean","Leisure",60,2,"1",0,"SA","Other","3",60.7916666666667,2,"2",15,"Other","00"
"45","ICN","Korean",54,"Korean","Other",60,0,"1",1,"SA","Other","3",82,1,"2",20,"w/income","30~150"
"46","ICN","LCC",80,"Korean","Leisure",7,3,"1",0,"SA","Other","3",50,2,"1",56,"Other","00"
"47","ICN","Korean",35,"Korean","Leisure",12,1,"1",5,"SA","Other","2",30,1,"5",30,"w/income","30~150"
"48","ICN","Korean",50,"Korean","Leisure",5,6,"1",3,"SA","Other","3",50,1,"5",56,"w/income","150~200>"
"49","ICN","Foreign",30,"Korean","Leisure",7,1,"1",2,"SA","China","3",50,2,"5",56,"Other","00"
"50","ICN","Foreign",42,"Korean","Leisure",3,3,"1",2,"Others","Japan","2",20,1,"1",56,"w/income","30~150"
"51","ICN","Korean",35,"Foreign","Leisure",4,0,"1",6,"Others","Other","3",50,1,"2",10,"w/income","30~150"
"52","ICN","LCC",29,"Korean","Other",5,3,"1",2,"Others","Other","1",40,1,"2",20,"w/income","30~150"
"53","ICN","Korean",22,"Korean","Leisure",10,0,"1",1,"Others","China","2",57,1,"5",80,"w/income","30~150"
"54","ICN","Korean",23,"Korean","Leisure",37,10,"1",2,"Japan","Japan","4",52,1,"5",60,"no income","30~150"
"55","ICN","Foreign",23,"Korean","Other",365,1,"1",1,"China","China","3",53.1666666666667,1,"5",80,"no income","30~150"
"56","ICN","Foreign",52,"Korean","Leisure",7,4,"1",1,"SA","Other","4",50,1,"1",90,"w/income","30~150"
"57","ICN","Korean",37,"Korean","Leisure",10,5,"1",3,"SA","Other","4",40,1,"1",50,"w/income","30~150"
"58","ICN","Korean",33,"Korean","Leisure",4,4,"1",1,"SA","Other","3",60.6923076923077,1,"6",60,"w/income","30~150"
"59","ICN","LCC",26,"Korean","Leisure",5,2,"2",0,"SA","Other","4",44.5681818181818,1,"5",50,"w/income","30~150"
"60","ICN","Korean",50,"Korean","Leisure",7,2,"2",0,"SA","Other","3",60.7916666666667,1,"5",30,"no income","30~150"
"61","ICN","LCC",29,"Korean","Leisure",3,3,"2",1,"SA","Other","3",30,1,"5",39,"w/income","30~150"
"62","ICN","LCC",36,"Korean","Leisure",3,3,"2",3,"Japan","Other","3",30,2,"3",39,"Other","00"
"63","ICN","Foreign",52,"Korean","Other",5,1,"2",3,"China","China","3",53.1666666666667,1,"5",39,"w/income","30~150"
"64","ICN","LCC",33,"Korean","Leisure",7,1,"2",2,"SA","Other","3",30,1,"8",39,"w/income","30~150"
"65","ICN","Foreign",29,"Foreign","Leisure",6,2,"2",1,"SA","Other","4",30,1,"6",30,"w/income","30~150"
"66","ICN","Korean",62,"Korean","Leisure",7,1,"2",0,"China","China","3",26,1,"1",39,"w/income","30~150"
"67","ICN","Korean",19,"Korean","Leisure",6,8,"2",0,"SA","China","3",78,1,"1",60,"no income","30~150"
"68","ICN","Foreign",45,"Korean","Other",14,2,"2",6,"Others","China","3",34,1,"2",39,"w/income","30~150"
"69","ICN","Korean",49,"Korean","Other",7,0,"3",3,"SA","Other","2",80,1,"6",40,"w/income","30~150"
"70","ICN","Korean",49,"Korean","Leisure",4,4,"3",1,"SA","Japan","1",41,1,"6",50,"no income","30~150"
"71","ICN","Korean",25,"Korean","Leisure",10,2,"3",1,"China","China","1",49,2,"4",20,"Other","00"
"72","ICN","Korean",29,"Korean","Other",7,2,"3",2,"Others","Japan","2",40,1,"1",76,"no income","150~200>"
"73","ICN","Korean",34,"Korean","Other",4,0,"3",2,"China","China","2",40,1,"6",50,"w/income","30~150"
"74","ICN","Korean",43,"Korean","Other",40,1,"3",4,"China","China","2",34,1,"6",50,"w/income","30~150"
"75","ICN","Korean",43,"Korean","Other",40,1,"3",0,"China","China","2",34,1,"6",50,"no income","30~150"
"76","ICN","Korean",52,"Korean","Leisure",7,1,"3",0,"Others","Japan","1",56,1,"6",50,"w/income","30~150"
"77","ICN","LCC",24,"Korean","Leisure",4,1,"3",0,"SA","Other","3",34,2,"2",5,"Other","00"
"78","ICN","Korean",62,"Korean","Other",4,2,"3",8,"Japan","Japan","3",27,1,"5",76,"w/income","30~150"
"79","ICN","LCC",31,"Korean","Leisure",5,2,"3",2,"Others","Other","2",40,2,"2",5,"Other","00"
